timestamp,open,high,low,close,volume
2017-10-02 10:55:00,153.8100,153.8200,153.6700,153.7600,80920
2017-10-02 10:50:00,153.7000,153.8500,153.6901,153.8100,96660
2017-10-02 10:45:00,153.7789,153.8000,153.6000,153.6000,147395
2017-10-02 10:40:00,153.6800,153.8400,153.6600,153.7800,222567
2017-10-02 10:35:00,153.6200,153.7900,153.6100,153.6700,217454
2017-10-02 10:30:00,153.6201,153.6700,153.5000,153.6300,171121
2017-10-02 10:25:00,153.6500,153.6699,153.4651,153.6300,248102
2017-10-02 10:20:00,153.5416,153.7786,153.5300,153.6500,281978
2017-10-02 10:15:00,153.6600,153.7000,153.5300,153.5500,225845
2017-10-02 10:10:00,153.8000,153.9400,153.5401,153.6500,289565
2017-10-02 10:05:00,153.9200,153.9500,153.7300,153.8000,254878
2017-10-02 10:00:00,153.6700,153.9400,153.6500,153.9400,284334
2017-10-02 09:55:00,153.5700,153.7100,153.5100,153.6700,254772
2017-10-02 09:50:00,153.7765,153.8500,153.5500,153.5600,279587
2017-10-02 09:45:00,153.9200,153.9300,153.5800,153.7729,277059
2017-10-02 09:40:00,153.4850,153.9500,153.4850,153.9235,358073
2017-10-02 09:35:00,154.2200,154.4500,153.4200,153.4900,589665
2017-10-02 09:30:00,154.2600,154.3200,154.1500,154.1900,306018
2017-09-29 16:00:00,154.0550,154.1300,153.9000,154.1200,3825151
2017-09-29 15:55:00,153.9100,154.0600,153.8500,154.0500,807424
2017-09-29 15:50:00,153.6700,154.0800,153.6000,153.9200,511718
2017-09-29 15:45:00,153.5800,153.6900,153.5800,153.6700,232152
2017-09-29 15:40:00,153.5599,153.6400,153.5000,153.5850,374101
2017-09-29 15:35:00,153.6300,153.6300,153.4900,153.5512,245764
2017-09-29 15:30:00,153.5690,153.6700,153.5500,153.6264,171328
2017-09-29 15:25:00,153.5700,153.5700,153.4800,153.5600,164585
2017-09-29 15:20:00,153.6200,153.6400,153.5200,153.5700,152194
2017-09-29 15:15:00,153.6800,153.6800,153.5400,153.6100,243047
2017-09-29 15:10:00,153.7200,153.7300,153.6500,153.6700,160076
2017-09-29 15:05:00,153.7500,153.7700,153.6600,153.7250,147933
2017-09-29 15:00:00,153.7900,153.8090,153.7300,153.7401,117600
2017-09-29 14:55:00,153.7550,153.8000,153.7200,153.7950,89487
2017-09-29 14:50:00,153.7400,153.8300,153.7100,153.7600,143293
2017-09-29 14:45:00,153.9000,153.9200,153.6900,153.7350,159742
2017-09-29 14:40:00,153.8800,153.9150,153.8000,153.9001,120521
2017-09-29 14:35:00,153.8620,153.9300,153.8400,153.8800,161239
2017-09-29 14:30:00,153.7842,153.8700,153.7500,153.8620,128748
2017-09-29 14:25:00,153.7236,153.8100,153.7000,153.7800,108146
2017-09-29 14:20:00,153.6844,153.7700,153.6700,153.7300,112475
2017-09-29 14:15:00,153.6500,153.7062,153.6200,153.6800,134974
2017-09-29 14:10:00,153.7000,153.7300,153.6260,153.6500,140328
2017-09-29 14:05:00,153.7700,153.8300,153.7000,153.7000,129998
2017-09-29 14:00:00,153.7700,153.7900,153.6900,153.7756,97675
2017-09-29 13:55:00,153.7051,153.7900,153.6668,153.7880,133096
2017-09-29 13:50:00,153.7639,153.7900,153.6900,153.7000,65998
2017-09-29 13:45:00,153.7900,153.8100,153.7200,153.7631,100739
2017-09-29 13:40:00,153.7700,153.8200,153.7300,153.8000,126074
2017-09-29 13:35:00,153.6900,153.7900,153.6600,153.7750,113796
2017-09-29 13:30:00,153.6500,153.7100,153.5900,153.6900,104012
2017-09-29 13:25:00,153.7600,153.7900,153.6200,153.6444,154094
2017-09-29 13:20:00,153.7070,153.7700,153.6500,153.7700,99989
2017-09-29 13:15:00,153.8100,153.8400,153.6700,153.7100,151886
2017-09-29 13:10:00,153.8070,153.8400,153.7500,153.8012,127697
2017-09-29 13:05:00,153.8300,153.9100,153.7720,153.8100,132693
2017-09-29 13:00:00,153.8000,153.8400,153.7200,153.8300,160063
2017-09-29 12:55:00,153.9268,153.9300,153.7800,153.7949,173402
2017-09-29 12:50:00,153.8800,153.9500,153.8400,153.9300,147167
2017-09-29 12:45:00,153.9500,153.9800,153.8700,153.8900,171653
2017-09-29 12:40:00,153.8000,153.9700,153.7800,153.9412,225496
2017-09-29 12:35:00,153.7801,153.8550,153.7500,153.8000,211679
2017-09-29 12:30:00,153.6600,153.8200,153.5900,153.7900,372567
2017-09-29 12:25:00,153.6500,153.6800,153.5600,153.6570,136581
2017-09-29 12:20:00,153.6400,153.7699,153.5500,153.6400,219726
2017-09-29 12:15:00,153.6200,153.6700,153.5900,153.6400,139536
2017-09-29 12:10:00,153.5600,153.6300,153.5100,153.6100,140648
2017-09-29 12:05:00,153.6600,153.6750,153.5500,153.5600,147282
2017-09-29 12:00:00,153.6000,153.6800,153.5500,153.6600,167349
2017-09-29 11:55:00,153.4700,153.6100,153.4600,153.6000,116001
2017-09-29 11:50:00,153.3700,153.5600,153.3600,153.4800,177197
2017-09-29 11:45:00,153.6525,153.6600,153.3600,153.3800,203368
2017-09-29 11:40:00,153.6000,153.6999,153.5920,153.6550,106106
2017-09-29 11:35:00,153.5950,153.6599,153.4600,153.6000,249369
2017-09-29 11:30:00,153.5800,153.6700,153.4123,153.5950,322664
2017-09-29 11:25:00,153.5510,153.7524,153.5200,153.5900,355660
2017-09-29 11:20:00,153.4100,153.6700,153.3625,153.5450,468038
2017-09-29 11:15:00,153.1500,153.4700,153.1500,153.4100,282538
2017-09-29 11:10:00,153.1700,153.3200,153.1000,153.1500,209816
2017-09-29 11:05:00,153.2845,153.2900,153.0700,153.1616,297251
2017-09-29 11:00:00,153.1400,153.3300,153.1051,153.2800,349862
2017-09-29 10:55:00,152.9450,153.1400,152.9100,153.1400,362192
2017-09-29 10:50:00,152.9496,152.9500,152.8100,152.9500,144728
2017-09-29 10:45:00,152.9350,153.0300,152.8500,152.9302,500721
2017-09-29 10:40:00,152.6150,152.9600,152.5900,152.9400,365498
2017-09-29 10:35:00,152.4900,152.6200,152.4100,152.6150,175023
2017-09-29 10:30:00,152.4200,152.6000,152.4000,152.4898,235305
2017-09-29 10:25:00,152.2400,152.5100,152.2200,152.4000,339076
2017-09-29 10:20:00,152.4640,152.4900,152.2300,152.2300,265749
2017-09-29 10:15:00,152.5429,152.6400,152.3100,152.4500,300311
2017-09-29 10:10:00,152.1000,152.5800,152.0400,152.5400,532913
2017-09-29 10:05:00,152.1900,152.3600,152.0000,152.1100,657852
2017-09-29 10:00:00,152.3700,152.4300,152.0100,152.1900,636871
2017-09-29 09:55:00,152.5497,152.7547,152.3600,152.3700,444406
2017-09-29 09:50:00,153.0600,153.1700,152.4300,152.5300,592599
2017-09-29 09:45:00,153.4300,153.4911,152.9000,153.0596,601527
2017-09-29 09:40:00,153.7000,153.8600,153.3900,153.4300,385675
2017-09-29 09:35:00,153.2200,154.0000,153.0800,153.6510,698000
2017-09-29 09:30:00,153.2100,153.2400,153.2100,153.2200,287149
2017-09-28 16:00:00,153.1200,153.2800,153.1100,153.2800,2006696
2017-09-28 15:55:00,153.1500,153.1600,153.0200,153.1175,455340
2017-09-28 15:50:00,153.0700,153.3000,153.0300,153.1500,329902
